# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Apr  9 16:34:15 2020
#
# User preference: *
#
# CONSTRAINT:  where (koi_disposition like '%CONFIRMED%')
#
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_sma_err1:   Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN koi_sma_err2:   Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_incl_err1:  Inclination Upper Unc. [deg]
# COLUMN koi_incl_err2:  Inclination Lower Unc. [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
# COLUMN koi_sage:       Stellar Age [Gyr]
# COLUMN koi_sage_err1:  Stellar Age Upper Unc. [Gyr]
# COLUMN koi_sage_err2:  Stellar Age Lower Unc. [Gyr]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,ra,dec
Kepler-227 b,CONFIRMED,9.488035570,2.7750000e-05,-2.7750000e-05,0.1460,0.3180,-0.1460,2.95750,0.08190,-0.08190,6.1580e+02,1.950e+01,-1.950e+01,2.26,2.600e-01,-1.500e-01,0.0853,,,89.66,,,793.0,,,93.59,29.45,-16.65,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460,,,,291.934230,48.141651
Kepler-227 c,CONFIRMED,54.418382700,2.4790000e-04,-2.4790000e-04,0.5860,0.0590,-0.4430,4.50700,0.11600,-0.11600,8.7480e+02,3.550e+01,-3.550e+01,2.83,3.200e-01,-1.900e-01,0.2734,,,89.57,,,443.0,,,9.11,2.87,-1.62,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460,,,,291.934230,48.141651
Kepler-664 b,CONFIRMED,2.525591777,3.7610000e-06,-3.7610000e-06,0.7010,0.2350,-0.4780,1.65450,0.04200,-0.04200,6.0330e+02,1.690e+01,-1.690e+01,2.75,8.800e-01,-3.500e-01,0.0374,,,85.41,,,1406.0,,,926.16,874.33,-314.24,6031.00,169.00,-211.00,4.438,0.070,-0.210,1.0460,0.3340,-0.1330,1.0950,0.1510,-0.1360,,,,288.754880,48.226200
Kepler-228 d,CONFIRMED,11.094320540,2.0360000e-05,-2.0360000e-05,0.5380,0.0300,-0.4280,4.59450,0.06100,-0.06100,1.5175e+03,2.420e+01,-2.420e+01,3.90,1.270e+00,-4.200e-01,0.0992,,,88.11,,,835.0,,,114.81,112.85,-36.70,6046.00,189.00,-232.00,4.486,0.054,-0.229,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,,,,296.286130,48.224670
Kepler-228 c,CONFIRMED,4.134435120,1.0460000e-05,-1.0460000e-05,0.7620,0.1390,-0.5320,3.14020,0.06730,-0.06730,6.8600e+02,1.870e+01,-1.870e+01,2.77,9.000e-01,-3.000e-01,0.0514,,,83.72,,,1160.0,,,427.65,420.33,-136.70,6046.00,189.00,-232.00,4.486,0.054,-0.229,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,,,,296.286130,48.224670
Kepler-228 b,CONFIRMED,2.566588970,1.7810000e-05,-1.7810000e-05,0.7550,0.2120,-0.5230,2.42900,0.16500,-0.16500,2.2650e+02,1.680e+01,-1.680e+01,1.59,5.200e-01,-1.700e-01,0.0374,,,82.17,,,1360.0,,,807.74,793.91,-258.20,6046.00,189.00,-232.00,4.486,0.054,-0.229,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,,,,296.286130,48.224670
Kepler-229 c,CONFIRMED,16.068646740,1.0880000e-05,-1.0880000e-05,0.0520,0.2620,-0.0520,3.53470,0.02410,-0.02410,4.9143e+03,3.330e+01,-3.330e+01,5.76,2.200e-01,-4.900e-01,0.1158,,,89.92,,,600.0,,,30.75,4.46,-6.66,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300,,,,286.999480,48.375790
Kepler-1 b,CONFIRMED,2.470613377,2.7000000e-08,-2.7000000e-08,0.8180,0.0010,-0.0010,1.74319,0.00107,-0.00107,1.4231e+04,4.200e+00,-4.200e+00,13.04,5.100e-01,-5.100e-01,0.0354,,,84.41,,,1339.0,,,761.46,106.21,-95.76,5820.00,78.00,-78.00,4.457,0.024,-0.024,0.9640,0.0380,-0.0380,0.9710,0.0620,-0.0560,,,,286.808470,49.316399
Kepler-2 b,CONFIRMED,2.204735417,4.3000000e-08,-4.3000000e-08,0.2240,0.1590,-0.2160,3.88864,0.00203,-0.00203,6.6747e+03,1.700e+00,-1.700e+00,16.10,8.100e-01,-9.100e-01,0.0376,,,87.21,,,2048.0,,,4148.92,651.59,-654.46,6440.00,76.00,-89.00,4.019,0.033,-0.027,1.9520,0.0990,-0.1100,1.4490,0.0700,-0.0910,,,,292.247280,47.969521
Kepler-8 b,CONFIRMED,3.522498429,1.9800000e-07,-1.9800000e-07,0.6310,0.0070,-0.0070,3.19843,0.00653,-0.00653,9.1457e+03,6.600e+00,-6.600e+00,14.59,1.110e+00,-1.110e+00,0.0473,,,85.20,,,1521.0,,,1264.67,307.23,-276.48,6225.00,112.00,-137.00,4.169,0.055,-0.045,1.4510,0.1100,-0.1100,1.1320,0.1080,-0.0780,,,,281.288120,42.451080
Kepler-466 c,CONFIRMED,3.709214104,6.5360000e-06,-6.5360000e-06,0.0510,0.3950,-0.0510,2.63020,0.04270,-0.04270,1.3110e+02,3.000e+00,-3.000e+00,1.16,1.700e-01,-1.200e-01,0.0465,,,89.73,,,1206.0,,,500.46,197.96,-130.54,5833.00,105.00,-117.00,4.407,0.085,-0.114,1.0220,0.1430,-0.1070,0.9740,0.0660,-0.0660,,,,295.648710,48.495560
Kepler-660 b,CONFIRMED,9.273581730,1.0370000e-05,-1.0370000e-05,0.3870,0.0040,-0.3860,3.28750,0.03090,-0.03090,1.2883e+03,1.680e+01,-1.680e+01,2.47,2.000e-01,-2.400e-01,0.0759,,,88.93,,,649.0,,,41.85,12.49,-11.70,4856.00,131.00,-146.00,4.583,0.065,-0.035,0.6960,0.0560,-0.0680,0.6760,0.0880,-0.0470,,,,288.138240,47.724449
Kepler-661 b,CONFIRMED,6.029303290,5.5090000e-06,-5.5090000e-06,0.2580,0.1960,-0.2580,1.58210,0.03110,-0.03110,1.9127e+03,3.440e+01,-3.440e+01,2.85,2.600e-01,-1.500e-01,0.0585,,,89.50,,,678.0,,,50.04,16.40,-9.88,4537.00,123.00,-123.00,4.648,0.020,-0.056,0.6720,0.0620,-0.0360,0.7610,0.0330,-0.0670,,,,283.710880,47.863270
Kepler-226 c,CONFIRMED,5.349553819,8.8340000e-06,-8.8340000e-06,0.0920,0.3690,-0.0920,3.02780,0.04710,-0.04710,8.3100e+02,1.480e+01,-1.480e+01,2.55,1.600e-01,-2.400e-01,0.0563,,,89.62,,,919.0,,,168.99,34.66,-38.48,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320,,,,292.376130,47.880989
Kepler-226 b,CONFIRMED,3.941052210,1.0940000e-05,-1.0940000e-05,0.2260,0.2430,-0.2260,2.59840,0.07370,-0.07370,3.6330e+02,1.390e+01,-1.390e+01,1.70,1.100e-01,-1.600e-01,0.0460,,,88.88,,,1018.0,,,253.15,51.91,-57.65,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320,,,,292.376130,47.880989
Kepler-226 d,CONFIRMED,8.109048070,6.7870000e-05,-6.7870000e-05,0.0250,0.4250,-0.0250,3.59600,0.19800,-0.19800,2.1740e+02,1.680e+01,-1.680e+01,1.30,9.000e-02,-1.200e-01,0.0743,,,89.92,,,800.0,,,97.03,19.90,-22.09,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320,,,,292.376130,47.880989
Kepler-662 b,CONFIRMED,21.676991930,7.0100000e-05,-7.0100000e-05,0.8960,0.0100,-0.6630,3.45550,0.06560,-0.06560,8.5720e+02,2.710e+01,-2.710e+01,2.95,1.200e-01,-2.300e-01,0.1408,,,87.91,,,530.0,,,18.64,2.78,-3.80,4954.00,79.00,-79.00,4.500,0.075,-0.020,0.8280,0.0320,-0.0650,0.7910,0.0500,-0.0290,,,,290.465120,47.929180
Kepler-663 b,CONFIRMED,4.996779680,1.3890000e-05,-1.3890000e-05,0.7100,0.0060,-0.5330,2.17170,0.07620,-0.07620,9.3470e+02,3.970e+01,-3.970e+01,2.78,5.200e-01,-2.300e-01,0.0559,,,86.90,,,917.0,,,166.95,102.06,-42.14,5339.00,175.00,-159.00,4.552,0.034,-0.136,0.8470,0.1610,-0.0690,0.9310,0.0630,-0.0940,,,,297.808260,47.946671
Kepler-671 b,CONFIRMED,4.280963604,6.1410000e-06,-6.1410000e-06,0.4240,0.1120,-0.3560,2.87500,0.04200,-0.04200,7.5080e+02,1.410e+01,-1.410e+01,2.30,5.800e-01,-1.900e-01,0.0503,,,87.72,,,1012.0,,,247.87,182.24,-63.32,5644.00,152.00,-169.00,4.564,0.032,-0.168,0.8310,0.2070,-0.0690,0.9280,0.0940,-0.1150,,,,294.265810,49.314091
Kepler-672 b,CONFIRMED,38.377548600,1.6020000e-04,-1.6020000e-04,0.4680,0.4610,-0.2670,5.58800,0.11300,-0.11300,7.2420e+02,2.340e+01,-2.340e+01,2.82,3.700e-01,-3.400e-01,0.2163,,,89.44,,,529.0,,,18.53,6.72,-4.93,5481.00,82.00,-74.00,4.369,0.121,-0.099,1.0360,0.1380,-0.1240,0.9150,0.0610,-0.0420,,,,291.722020,49.480869
Kepler-229 d,CONFIRMED,41.197255020,9.3450000e-05,-9.3450000e-05,0.0450,0.3370,-0.0450,4.62970,0.06330,-0.06330,2.2139e+03,4.550e+01,-4.550e+01,3.86,1.500e-01,-3.300e-01,0.2170,,,89.96,,,439.0,,,8.76,1.27,-1.90,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300,,,,286.999480,48.375790
Kepler-229 b,CONFIRMED,6.252962249,9.5770000e-06,-9.5770000e-06,0.1050,0.3290,-0.1050,2.58190,0.04260,-0.04260,1.0369e+03,2.450e+01,-2.450e+01,2.65,1.000e-01,-2.300e-01,0.0617,,,89.68,,,823.0,,,108.30,15.73,-23.44,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300,,,,286.999480,48.375790
Kepler-665 b,CONFIRMED,16.013084190,4.8540000e-05,-4.8540000e-05,0.7990,0.0970,-0.5510,3.25540,0.07910,-0.07910,1.1219e+03,3.940e+01,-3.940e+01,3.10,3.400e-01,-3.100e-01,0.1148,,,88.14,,,593.0,,,29.31,11.77,-8.24,5015.00,164.00,-149.00,4.499,0.092,-0.115,0.8260,0.0910,-0.0820,0.7850,0.0850,-0.0560,,,,297.025630,48.478588
Kepler-230 b,CONFIRMED,32.628766720,5.8010000e-05,-5.8010000e-05,0.0210,0.4020,-0.0210,4.79710,0.05800,-0.05800,1.8048e+03,2.540e+01,-2.540e+01,3.36,7.600e-01,-3.300e-01,0.1889,,,89.98,,,506.0,,,15.55,10.51,-4.18,5586.00,152.00,-152.00,4.560,0.050,-0.150,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780,,,,285.718540,48.505859
Kepler-230 c,CONFIRMED,91.773286200,7.5180000e-04,-7.5180000e-04,0.6060,0.3350,-0.4000,6.47300,0.20400,-0.20400,6.5200e+02,3.620e+01,-3.620e+01,2.12,4.800e-01,-2.100e-01,0.3764,,,89.61,,,359.0,,,3.92,2.64,-1.06,5586.00,152.00,-152.00,4.560,0.050,-0.150,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780,,,,285.718540,48.505859
Kepler-666 b,CONFIRMED,4.498765110,1.7770000e-05,-1.7770000e-05,0.3120,0.1540,-0.3120,3.73620,0.09340,-0.09340,4.6000e+02,1.750e+01,-1.750e+01,2.10,6.500e-01,-2.200e-01,0.0542,,,88.00,,,1133.0,,,389.62,365.71,-117.40,6075.00,189.00,-210.00,4.486,0.052,-0.208,0.9690,0.3000,-0.1000,1.0480,0.1390,-0.1390,,,,298.456850,48.791592
Kepler-105 b,CONFIRMED,5.412203927,3.0520000e-06,-3.0520000e-06,0.7870,0.0050,-0.5650,2.94720,0.02400,-0.02400,6.0160e+02,4.000e+00,-4.000e+00,2.94,4.300e-01,-3.800e-01,0.0591,,,85.12,,,1093.0,,,337.68,137.29,-102.18,5779.00,104.00,-115.00,4.339,0.132,-0.108,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540,,,,287.887330,46.276241
Kepler-667 b,CONFIRMED,41.439586620,7.5570000e-05,-7.5570000e-05,0.3550,0.0400,-0.3550,10.59890,0.08800,-0.08800,2.7931e+03,2.260e+01,-2.260e+01,5.50,1.570e+00,-9.600e-01,0.2288,,,89.31,,,516.0,,,16.72,14.66,-6.64,5468.00,180.00,-164.00,4.367,0.153,-0.187,1.0460,0.2970,-0.1830,0.9300,0.0920,-0.0740,,,,295.555050,49.017342
Kepler-668 b,CONFIRMED,8.353895230,1.5240000e-05,-1.5240000e-05,0.0230,0.4230,-0.0230,2.25140,0.05180,-0.05180,1.0416e+03,2.820e+01,-2.820e+01,2.52,5.400e-01,-2.400e-01,0.0768,,,89.95,,,790.0,,,91.90,59.06,-24.15,5592.00,152.00,-152.00,4.582,0.036,-0.144,0.7870,0.1690,-0.0730,0.8620,0.0890,-0.0970,,,,285.499240,49.277351
Kepler-669 b,CONFIRMED,4.125543472,3.1330000e-06,-3.1330000e-06,0.5970,0.2350,-0.3670,3.17440,0.03620,-0.03620,1.4873e+03,1.330e+01,-1.330e+01,4.43,1.440e+00,-5.100e-01,0.0529,,,85.95,,,1243.0,,,565.35,542.47,-188.14,6174.00,173.00,-239.00,4.417,0.056,-0.210,1.1030,0.3580,-0.1280,1.1620,0.1580,-0.1580,,,,291.936160,49.253979
Kepler-670 b,CONFIRMED,2.816504904,1.6500000e-07,-1.6500000e-07,0.1050,0.2640,-0.1190,2.50587,0.00666,-0.00666,1.6814e+04,1.100e+01,-1.100e+01,12.21,1.620e+00,-8.700e-01,0.0383,,,89.37,,,1219.0,,,521.13,184.34,-97.95,5532.00,74.00,-83.00,4.452,0.063,-0.108,0.9550,0.1270,-0.0680,0.9410,0.0530,-0.0470,,,,297.015470,49.225288
Kepler-680 b,CONFIRMED,3.689920099,8.9820000e-06,-8.9820000e-06,0.1510,0.3040,-0.1510,2.65570,0.06770,-0.06770,4.2670e+02,1.380e+01,-1.380e+01,1.89,5.400e-01,-2.000e-01,0.0469,,,89.19,,,1147.0,,,408.99,342.24,-123.32,5880.00,157.00,-192.00,4.518,0.046,-0.196,0.9170,0.2620,-0.0980,1.0100,0.1160,-0.1390,,,,291.622410,50.618240
Kepler-232 b,CONFIRMED,4.431238488,6.1060000e-06,-6.1060000e-06,0.4050,0.0410,-0.4050,3.15000,0.04230,-0.04230,1.0109e+03,1.520e+01,-1.520e+01,3.25,4.700e-01,-2.500e-01,0.0529,,,87.72,,,1104.0,,,351.23,135.26,-68.33,5714.00,77.00,-77.00,4.428,0.063,-0.117,1.0150,0.1480,-0.0790,1.0070,0.0560,-0.0620,,,,295.816160,51.121738
Kepler-232 c,CONFIRMED,11.379369860,2.4150000e-05,-2.4150000e-05,0.9110,0.0090,-0.6560,2.62550,0.07300,-0.07300,1.0235e+03,2.970e+01,-2.970e+01,3.95,5.700e-01,-3.100e-01,0.0993,,,86.80,,,806.0,,,99.68,38.38,-19.39,5714.00,77.00,-77.00,4.428,0.063,-0.117,1.0150,0.1480,-0.0790,1.0070,0.0560,-0.0620,,,,295.816160,51.121738
Kepler-681 b,CONFIRMED,26.394328970,5.7240000e-05,-5.7240000e-05,0.6020,0.2500,-0.3960,3.57300,0.06430,-0.06430,1.5109e+03,3.630e+01,-3.630e+01,3.07,4.100e-01,-2.200e-01,0.1635,,,89.28,,,489.0,,,13.49,6.07,-3.21,5129.00,154.00,-154.00,4.595,0.030,-0.084,0.7630,0.1030,-0.0550,0.8460,0.0640,-0.0880,,,,289.399720,51.250320
Kepler-106 c,CONFIRMED,13.570782810,1.5850000e-05,-1.5850000e-05,0.8660,0.0150,-0.6210,3.35390,0.04890,-0.04890,5.1170e+02,6.300e+00,-6.300e+00,2.64,4.000e-01,-2.700e-01,0.1096,,,87.07,,,785.0,,,89.61,38.12,-22.92,5854.00,105.00,-117.00,4.406,0.090,-0.110,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630,,,,300.863980,44.337551
Kepler-105 c,CONFIRMED,7.125943870,1.4060000e-05,-1.4060000e-05,0.8980,0.0130,-0.6990,3.00140,0.03840,-0.03840,1.9240e+02,4.400e+00,-4.400e+00,1.79,2.600e-01,-2.300e-01,0.0711,,,84.02,,,997.0,,,233.31,94.86,-70.60,5779.00,104.00,-115.00,4.339,0.132,-0.108,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540,,,,287.887330,46.276241
Kepler-52 c,CONFIRMED,16.384899880,5.2190000e-05,-5.2190000e-05,0.0010,0.4370,-0.0010,3.02490,0.07980,-0.07980,1.1271e+03,4.200e+01,-4.200e+01,2.00,9.000e-02,-1.000e-01,0.1084,,,90.00,,,433.0,,,8.35,1.49,-1.35,4126.00,82.00,-82.00,4.661,0.022,-0.022,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350,,,,286.738040,49.975750
